movie_code,review
m/0814255, A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle
m/0878835," Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews."
m/10," 10 (1979) is known for its numerical rating system for beautiful women. It described itself as ""a temptingly tasteful comedy for adults"
m/1000013-12_angry_men," Thoroughly engaging, there is nothing dated or corny in Reginald Rose's intensely knowing screenplay and Lumet's energetic direction."
m/1000079-20000_leagues_under_the_sea, [The] embodiment of Disney at his best -- family entertainment that superbly uses brand-new wonders of film technology.
m/10000_bc," The mammoths, the savage, beaked jungle beasts and the giant sabre tooth tiger all make splendid appearances. The spectacular landscapes of desert, mountain, river and jungle also deliver the images we are expecting. It's the humans who let us down."
m/1000121-39_steps," If you haven't seen it, do."
m/1000123-310_to_yuma, The enjoyment here that outweighs the film's derivativeness comes in the dialogue and relationship developed between outlaw and rancher.
m/10002008-charly," If religious films aren't your bailiwick, stay away. Otherwise, this could be a passable date film."
m/1000204-abraham_lincoln, It is quite a worthy pictorial offering with a genuinely fine and inspiring performance by Walter Huston in the role of the martyred President.
m/10002114-dark_water," A horror movie that sits there and drags and seems very full of itself, and is based on the premise that puddles are scary. They're not."
m/1000224-accused, Provides a searing account of a gang rape through the story of two women who speak out against this violent crime
m/10002516-lost_city," Staged with credibility and loads of Cubano flair, the film slows to a sludgy crawl, giving us lots of time to consider it as a pro-old-guard, anti- revolutionary elegy."
m/1000253-adams_rib," It lost some of its luster with time, but it's still amusing."
m/10002635-bridge_of_san_luis_rey," The stellar cast can do little to paper over the cracks in an awkward, unevenly-paced script that is composed of a series of sometimes-attractive scenes with little emotional undertow."
m/10002673-prowler," Losey's script is fine, but doesn't really draw the audience in, or inspire compassion for any of the characters."
m/10003276-criminal," The movie was made just four years ago by Argentinian director Fabian Bielinsky. It is called Nine Queens, and it is vastly superior to this blah U.S. remake from director Gregory Jacobs."
m/1000334-adventures_of_mark_twain, Such a wonderfully entertaining and rather charming film.
m/10003437-deep_blue," Practically every shot in Deep Blue offers some sort of remarkable, jaw-dropping sight."
m/1000355-adventures_of_robin_hood," A wonderful fairy tale of a movie with delightful, cartoonish figures."
m/10003876-man_hunt, a daring film that explicitly prefigures the surge of anti-Nazi cinema that was to come
m/10004050-bandwagon, A funny and rollickingly good movie about the challenges of keeping a band together on the road.
m/10004209-tristan_and_isolde," With a bizarre coiffure that makes him look like the lead singer of an '80s New Wave band, Franco flares his nostrils and pouts -- his performance riddled with so many Anakin-ims you'll think he's auditioning for The Hayden Christensen Story."
m/10004226-wild_side, A morbid and self-important homosexual Jules & Jim for the new millennium.
m/10004288-running_scared, Paul Walker is the principal actor. Need we say more?
m/10004352-going_the_distance," There are few genuine jokes here, just familiar comic happenings."
m/10004504-ultraviolet," Ultraviolet is nice to gaze at but otherwise simplistic, senseless, and eminently skippable."
m/10004635-home_of_the_brave," This doc recounting the tragic story of Viola Liuzzo, the only white woman killed during the civil rights struggle, doubles as a narrative of the nascent women's movement."
m/10004659-arthur, The bucolic wonder buried in Luc Besson's Arthur and the Invisibles has been snuffed out by this alienating and dislikable animated film. As overproduced and acrid as The Messenger: The Story of Joan of Arc and The Fifth Element.
m/10004684-malevolence, Malevolence is the result of a film lover that spent their entire life striving to be the best they can.
m/10004697-eternal," Lush, lurid and completely besotted with itself, Eternal is one of those movies normally found slinking around the ether of late-night cable television."
m/10004890-narrow_margin," A hard-as-nails, noir-ish thriller from the often underrated Richard Fleischer."
m/10004925-matador," Brosnan and Kinnear deliver one of the most satisfying ""guy movie"" duos since De Niro and Grodin paired up for Midnight Run."
m/10005057-smile," Smile is like a dose of cod liver oil: It may be good for you, but it's no fun."
m/10005104-intruder, Seductive and emotionally charged but maddeningly elusive.
m/10005178-saint_ralph," Ralph Walker is no Max Fischer, and his monomania gets dull fast."
m/10005403-the_baxter, This romantic comedy about losers in love gave me some laughs but couldn't make me fall in love.
m/10005499-oliver_twist, The spark that an original point of view might bring to the oft-told tale is missing.
m/10005755-g, The decadent world of Hamptonite hip-hop moguls is a fitting backdrop for this somewhat faithful but not very graceful retelling of F. Scott Fitzgerald's 'Great Gatsby.'
m/1000580-alexander_the_great, The most notable battle on view in this picture isn't any of the skirmishes between Alexander's army and the opposing forces but the effort between Burton's blonde wig and March's shaggy beard to upstage each other in grievous grooming.
m/1000581-alfie," The question the film asks is, ""Why not?"" Surely life is to be enjoyed? The answer is grimmer than you expect."
m/10005819-10005819-neverwas," This is the kind of movie where a madwoman's outburst leads her to throw a mug that just happens to be filled with gold sparkles -- which can then be photographed cascading down on all the adorable loonies, in slow-motion."
m/10006007-the_second_chance," [The film is] sabotaged by hackneyed dialogue, sluggish pacing and a listless performance by Smith, who only springs to life when he's singing."
m/10006057-moonlight," The situation compels you to keep watching, only to be disappointed when you realize the story's not going anywhere."
m/1000617-aliens," The ads for Aliens claim that this movie will frighten you as few movies have, and, for once, the ads don't lie."
m/1000626-all_about_eve," All About Eve (1950), is a realistic, dramatic depiction of show business and backstage life of Broadway and the New York theater. The devastating debunking of stage and theatrical characters was..."
m/10006270," Eat soaks up the passions, disagreements, and love the Seder inspires, with the writers capturing the utter chaos of a full dinner table."
m/10006324," [A] most unfabulous, unfunny, and unwatchable embarrassment."
m/10006343-dirty," At the end of the antiheroes' ropes, at the end of writer-director Chris Fisher's genre exercise, guns have been drawn, blood has been spilled, cops have been thwarted from going straight, and nothing has changed."
m/10006370-stay_alive," Debuting director William Brent Bell, who wrote the script with producer Matthew Peterman, keeps the pace brisk and the pot bubbling."
m/1000640-all_of_me, Carl Reiner's likeable and funny comedy about mind and body switching features a great performance from Steve Martin in one of his best roles.
m/10006434-dreamland," Despite some sketchy story elements, much of it is pretty intoxicating -- that is, until the unambiguous life lessons bring pic down to earth with an earnest splat."
m/10006485-black_gold, A film to think about every time you order a Triple Grande Soy Latte.
m/1000654-all_the_kings_men," All the King's Men (1949) is the fictionalized account of the rise and fall of a backwoods rebel - a story inspired by the rule (and abuse of power) of Louisiana's colorful state governor and Democratic U.S. Senator, the notorious Huey Pierce Long..."
m/10006588-street_fight," It's a hard, fast film that needs airing now, or at least before the Newark elections of 2006."
